iter	Passed	Remaining
0	144	144352
1	149	74487
2	156	51871
3	161	40140
4	166	33139
5	173	28694
6	177	25198
7	181	22486
8	186	20488
9	188	18669
10	190	17159
11	193	15904
12	196	14928
13	198	14007
14	201	13202
15	203	12494
16	205	11879
17	207	11333
18	211	10898
19	213	10447
20	215	10049
21	217	9674
22	220	9350
23	223	9081
24	225	8794
25	227	8527
26	229	8283
27	232	8056
28	235	7879
29	237	7673
30	239	7492
31	241	7316
32	243	7148
33	246	7007
34	249	6875
35	251	6730
36	253	6602
37	255	6469
38	257	6356
39	260	6259
40	263	6153
41	265	6046
42	267	5946
43	269	5852
44	272	5775
45	274	5693
46	276	5609
47	278	5527
48	283	5502
49	289	5494
50	291	5426
51	294	5362
52	296	5306
53	303	5308
54	306	5273
55	309	5222
56	311	5160
57	313	5098
58	315	5039
59	318	4983
60	320	4932
61	323	4889
62	325	4837
63	327	4784
64	329	4739
65	331	4687
66	333	4650
67	336	4609
68	338	4563
69	340	4518
70	342	4476
71	343	4432
72	345	4390
73	349	4369
74	351	4329
75	353	4292
76	354	4254
77	356	4217
78	358	4181
79	361	4158
80	363	4127
81	365	4094
82	367	4060
83	369	4030
84	371	3999
85	373	3973
86	376	3950
87	378	3926
88	380	3899
89	383	3874
90	385	3846
91	387	3822
92	390	3803
93	391	3777
94	393	3751
95	395	3725
96	397	3699
97	399	3674
98	400	3648
99	404	3636
100	405	3613
101	407	3589
102	409	3569
103	411	3546
104	413	3522
105	415	3502
106	418	3488
107	420	3472
108	422	3450
109	423	3429
110	425	3409
111	427	3389
112	429	3368
113	431	3355
114	433	3339
115	435	3322
116	437	3303
117	439	3283
118	441	3267
119	443	3248
120	445	3234
121	448	3225
122	449	3207
123	451	3191
124	453	3176
125	455	3159
126	457	3144
127	459	3133
128	462	3121
129	464	3105
130	465	3089
131	467	3073
132	469	3058
133	470	3043
134	472	3027
135	475	3020
136	477	3007
137	479	2992
138	480	2977
139	482	2962
140	484	2948
141	485	2934
142	487	2920
143	491	2919
144	492	2906
145	495	2895
146	496	2882
147	498	2870
148	500	2858
149	502	2849
150	505	2843
151	507	2831
152	509	2821
153	511	2811
154	514	2802
155	516	2792
156	519	2789
157	521	2778
158	523	2769
159	525	2757
160	527	2746
161	529	2736
162	530	2726
163	534	2722
164	535	2711
165	537	2700
166	539	2691
167	541	2681
168	543	2670
169	545	2662
170	548	2658
171	550	2649
172	552	2639
173	554	2630
174	555	2620
175	557	2610
176	559	2601
177	562	2597
178	564	2589
179	566	2580
180	568	2571
181	569	2561
182	571	2553
183	573	2543
184	577	2542
185	578	2533
186	580	2524
187	582	2516
188	584	2507
189	586	2498
190	588	2490
191	591	2489
192	593	2482
193	595	2474
194	597	2467
195	599	2458
196	601	2450
197	604	2447
198	606	2440
199	608	2433
200	610	2425
201	611	2417
202	613	2409
203	615	2401
204	617	2395
205	620	2391
206	622	2384
207	624	2376
208	626	2369
209	627	2361
210	629	2354
211	631	2347
212	634	2343
213	636	2336
214	638	2329
215	639	2321
216	641	2315
217	643	2308
218	645	2300
219	648	2298
220	650	2291
221	652	2285
222	653	2278
223	655	2271
224	657	2264
225	659	2257
226	662	2254
227	664	2248
228	666	2243
229	668	2236
230	670	2230
231	672	2225
232	674	2218
233	677	2216
234	679	2210
235	681	2204
236	682	2198
237	684	2192
238	686	2186
239	688	2180
240	692	2179
241	693	2173
242	695	2167
243	697	2161
244	699	2155
245	701	2149
246	703	2143
247	706	2142
248	708	2136
249	710	2130
250	712	2124
251	713	2118
252	715	2112
253	717	2107
254	720	2104
255	722	2099
256	724	2093
257	725	2087
258	727	2082
259	729	2076
260	731	2070
261	734	2069
262	737	2065
263	739	2061
264	741	2057
265	744	2053
266	746	2048
267	765	2091
268	767	2086
269	769	2080
270	771	2074
271	773	2069
272	775	2064
273	776	2058
274	780	2056
275	782	2051
276	784	2046
277	785	2040
278	787	2034
279	789	2030
280	791	2024
281	794	2023
282	796	2018
283	798	2012
284	800	2007
285	802	2002
286	803	1997
287	805	1991
288	809	1990
289	810	1985
290	813	1981
291	814	1975
292	816	1970
293	818	1965
294	820	1960
